,bookID,title,authors,average_rating,isbn,isbn13,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher,Unnamed: 12,Unnamed: 13,Unnamed: 14
7,12,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,517226952,9780517226957,eng,815,3628,254,11/1/2005,,,,
10,16,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,4.22,739322206,9780739322208,eng,6,1266,253,3/23/2005,,,,
12,21,A Short History of Nearly Everything,Bill Bryson,4.21,076790818X,9780767908184,eng,544,248558,9396,9/14/2004,,,,
13,22,Bill Bryson's African Diary,Bill Bryson,3.44,767915062,9780767915069,eng,55,7270,499,12/3/2002,,,,
14,23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,3.87,767910435,9780767910439,eng,256,2088,131,9/14/2004,,,,
15,24,In a Sunburned Country,Bill Bryson,4.07,767903862,9780767903868,eng,335,72451,4245,5/15/2001,,,,
16,25,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,3.9,076790382X,9780767903820,eng,304,49240,2211,6/28/2000,,,,
17,26,The Lost Continent: Travels in Small Town America,Bill Bryson,3.83,60920084,9780060920081,eng,299,45712,2257,8/28/1990,,,,
18,27,Neither Here nor There: Travels in Europe,Bill Bryson,3.86,380713802,9780380713806,eng,254,48701,2238,3/28/1993,,,,
19,28,Notes from a Small Island,Bill Bryson,3.91,380727501,9780380727506,eng,324,80609,3301,5/28/1997,,,,
20,29,The Mother Tongue: English and How It Got That Way,Bill Bryson,3.93,380715430,9780380715435,eng,270,28489,2085,9/28/1991,,,,
21,30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59,345538374,9780345538376,eng,1728,101233,1550,9/25/2012,,,,
22,31,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.5,618517650,9780618517657,eng,1184,1710,91,10/21/2004,,,,
23,34,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.36,618346252,9780618346257,eng,398,2128944,13670,9/5/2003,,,,
24,35,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,4.5,618260587,9780618260584,en-US,1216,1618,140,10/1/2002,,,,
25,36,The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,4.53,618391002,9780618391004,eng,218,19822,46,11/5/2003,,,,
26,37,The Lord of the Rings: Complete Visual Companion,Jude Fisher,4.5,618510826,9780618510825,eng,224,359,6,11/15/2004,,,,
27,45,Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,3.84,097669400X,9780976694007,eng,558,1430,59,7/28/2005,,,,
28,50,Hatchet (Brian's Saga  #1),Gary Paulsen,3.72,689840926,9780689840920,eng,208,270244,12017,4/1/2000,,,,
29,51,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes/Edward Sciranko/Keith Vasconcelles,4.0,1557344493,9781557344496,eng,48,36,2,8/28/1994,,,,
31,54,Molly Hatchet - 5 of the Best,Molly Hatchet,4.33,1575606240,9781575606248,eng,56,6,0,6/10/2003,,,,
33,57,A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,3.76,1595962808,9781595962805,eng,304,167,4,11/1/2005,,,,
44,74,The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,4.42,374517193,9780374517199,eng,416,562,37,6/1/1982,,,,
45,75,Uncommon Carriers,John McPhee,3.95,374280398,9780374280390,en-US,248,1630,203,5/16/2006,,,,
46,76,Heirs of General Practice,John McPhee,4.17,374519749,9780374519742,eng,128,268,22,4/1/1986,,,,
47,77,The Control of Nature,John McPhee,4.24,374522596,9780374522599,en-US,288,3498,305,9/1/1990,,,,
48,78,Annals of the Former World,John McPhee,4.34,374518734,9780374518738,eng,720,3115,228,1/6/1999,,,,
49,79,Coming Into the Country,John McPhee,4.22,374522871,9780374522872,eng,448,5704,261,4/1/1991,,,,
50,80,La Place de la Concorde Suisse,John McPhee,3.92,374519323,9780374519322,fre,160,698,52,4/1/1994,,,,
51,81,Giving Good Weight,John McPhee,4.23,374516006,9780374516000,eng,288,542,36,4/1/1994,,,,
52,83,Rising from the Plains,John McPhee,4.23,374520658,9780374520656,eng,208,1341,98,11/1/1987,,,,
53,85,The Heidi Chronicles,Wendy Wasserstein,3.75,822205106,9780822205104,eng,81,1423,70,3/1/2002,,,,
54,86,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,3.84,679734996,9780679734994,eng,249,2766,64,7/2/1991,Vintage,,,
56,90,Simply Beautiful Beaded Jewelry,Heidi Boyd,3.77,1581807740,9781581807745,en-US,128,62,4,3/14/2006,,,,
58,92,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,3.68,871202867,9780871202864,en-US,108,77,2,1/28/1997,,,,
62,98,What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,3.89,761129588,9780761129585,eng,832,11797,659,10/16/2003,,,,
63,99,The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss/Libby Keatinge,3.82,972016414,9780972016414,eng,123,34,8,5/10/2004,,,,
64,100,Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,3.78,1581805632,9781581805635,en-US,128,78,4,8/19/2004,,,,
70,110,The Road to Dune,Frank Herbert/Brian Herbert/Kevin J. Anderson,3.88,765353709,9780765353702,eng,426,4789,83,8/29/2006,,,,
