,bookID,title,authors,average_rating,isbn,isbn13,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher,Unnamed: 12,Unnamed: 13,Unnamed: 14
0,1.0,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,4.57,439785960,9780439785969.0,eng,652.0,2095690.0,27591.0,9/16/2006,Scholastic Inc.,,,
1,2.0,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,4.49,439358078,9780439358071.0,eng,870.0,2153167.0,29221.0,9/1/2004,Scholastic Inc.,,,
2,4.0,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,4.42,439554896,9780439554893.0,eng,352.0,6333.0,244.0,11/1/2003,Scholastic,,,
3,5.0,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,4.56,043965548X,9780439655484.0,eng,435.0,2339585.0,36325.0,5/1/2004,Scholastic Inc.,,,
4,,,,,,,,,,,,,,,
5,9.0,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,3.74,976540606,9780976540601.0,en-US,152.0,19.0,1.0,4/26/2005,Nimble Books,,,
6,,,,,,,,,,,,,,,
7,12.0,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,517226952,9780517226957.0,eng,815.0,3628.0,254.0,11/1/2005,,,,
8,13.0,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,345453743,9780345453747.0,eng,815.0,249558.0,4080.0,4/30/2002,Del Rey Books,,,
9,14.0,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,1400052920,9781400052929.0,eng,215.0,4930.0,460.0,8/3/2004,Crown,,,
10,16.0,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,4.22,739322206,9780739322208.0,eng,6.0,1266.0,253.0,3/23/2005,,,,
11,18.0,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,517149257,9780517149256.0,eng,815.0,2877.0,195.0,1/17/1996,Wings Books,,,
12,21.0,A Short History of Nearly Everything,Bill Bryson,4.21,076790818X,9780767908184.0,eng,544.0,248558.0,9396.0,9/14/2004,,,,
13,22.0,Bill Bryson's African Diary,Bill Bryson,3.44,767915062,9780767915069.0,eng,55.0,7270.0,499.0,12/3/2002,,,,
14,23.0,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,3.87,767910435,9780767910439.0,eng,256.0,2088.0,131.0,9/14/2004,,,,
15,24.0,In a Sunburned Country,Bill Bryson,4.07,767903862,9780767903868.0,eng,335.0,72451.0,4245.0,5/15/2001,,,,
16,25.0,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,3.9,076790382X,9780767903820.0,eng,304.0,49240.0,2211.0,6/28/2000,,,,
17,26.0,The Lost Continent: Travels in Small Town America,Bill Bryson,3.83,60920084,9780060920081.0,eng,299.0,45712.0,2257.0,8/28/1990,,,,
18,27.0,Neither Here nor There: Travels in Europe,Bill Bryson,3.86,380713802,9780380713806.0,eng,254.0,48701.0,2238.0,3/28/1993,,,,
19,28.0,Notes from a Small Island,Bill Bryson,3.91,380727501,9780380727506.0,eng,324.0,80609.0,3301.0,5/28/1997,,,,
20,29.0,The Mother Tongue: English and How It Got That Way,Bill Bryson,3.93,380715430,9780380715435.0,eng,270.0,28489.0,2085.0,9/28/1991,,,,
21,30.0,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59,345538374,9780345538376.0,eng,1728.0,101233.0,1550.0,9/25/2012,,,,
22,31.0,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.5,618517650,9780618517657.0,eng,1184.0,1710.0,91.0,10/21/2004,,,,
23,34.0,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.36,618346252,9780618346257.0,eng,398.0,2128944.0,13670.0,9/5/2003,,,,
24,35.0,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,4.5,618260587,9780618260584.0,en-US,1216.0,1618.0,140.0,10/1/2002,,,,
25,36.0,The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,4.53,618391002,9780618391004.0,eng,218.0,19822.0,46.0,11/5/2003,,,,
26,37.0,The Lord of the Rings: Complete Visual Companion,Jude Fisher,4.5,618510826,9780618510825.0,eng,224.0,359.0,6.0,11/15/2004,,,,
27,45.0,Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,3.84,097669400X,9780976694007.0,eng,558.0,1430.0,59.0,7/28/2005,,,,
28,50.0,Hatchet (Brian's Saga  #1),Gary Paulsen,3.72,689840926,9780689840920.0,eng,208.0,270244.0,12017.0,4/1/2000,,,,
29,51.0,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes/Edward Sciranko/Keith Vasconcelles,4.0,1557344493,9781557344496.0,eng,48.0,36.0,2.0,8/28/1994,,,,
30,53.0,Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,3.88,385326505,9780385326506.0,eng,144.0,2067.0,334.0,1/23/2001,Delacorte Press,,,
31,54.0,Molly Hatchet - 5 of the Best,Molly Hatchet,4.33,1575606240,9781575606248.0,eng,56.0,6.0,0.0,6/10/2003,,,,
32,55.0,Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,3.45,1595580271,9781595580276.0,en-US,228.0,99.0,16.0,11/1/2005,The New Press,,,
33,57.0,A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,3.76,1595962808,9781595962805.0,eng,304.0,167.0,4.0,11/1/2005,,,,
34,58.0,Changeling (Changeling  #1),Delia Sherman,3.6,670059676,9780670059676.0,eng,256.0,978.0,111.0,8/17/2006,Viking Juvenile,,,
35,59.0,The Changeling Sea,Patricia A. McKillip,4.06,141312629,9780141312620.0,eng,137.0,4454.0,302.0,4/14/2003,Firebird,,,
36,61.0,The Changeling,Zilpha Keatley Snyder,4.17,595321801,9780595321803.0,eng,228.0,1176.0,96.0,6/8/2004,iUniverse,,,
37,63.0,The Changeling,Kate Horsley,3.55,1590301943,9781590301944.0,eng,339.0,301.0,43.0,4/12/2005,Shambhala,,,
38,66.0,The Changeling (Daughters of England  #15),Philippa Carr,3.98,449146979,9780449146972.0,eng,369.0,345.0,12.0,8/28/1990,Ivy Books,,,
39,67.0,The Known World,Edward P. Jones,3.83,61159174,9780061159176.0,eng,388.0,29686.0,2626.0,8/29/2006,Amistad,,,
40,68.0,The Known World,Edward P. Jones/Kevin R. Free,3.83,006076273X,9780060762735.0,en-US,14.0,55.0,12.0,6/15/2004,HarperAudio,,,
41,69.0,The Known World,Edward P. Jones,3.83,60749911,9780060749910.0,eng,576.0,22.0,3.0,6/15/2004,Harper,,,
42,71.0,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,3.83,273704745,9780273704744.0,eng,334.0,1456.0,82.0,5/15/2006,FT Press,,,
